2026-09-09 00:25:58	[Main thread]	INFO	readr	cli_block	 ── Column specification ──────────────────────────────────────────────────────── cols(   checkLevel = col_character(),   checkName = col_character(),   checkDescription = col_character(),   kahnContext = col_character(),   kahnCategory = col_character(),   kahnSubcategory = col_character(),   sqlFile = col_character(),   evaluationFilter = col_character(),   severity = col_character() ) 
2026-09-09 00:25:58	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	CDM Tables skipped: CONCEPT, VOCABULARY, CONCEPT_ANCESTOR, CONCEPT_RELATIONSHIP, CONCEPT_CLASS, CONCEPT_SYNONYM, RELATIONSHIP, DOMAIN
2026-09-09 00:25:58	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleDuringLife check has been reimplemented with the plausibleBeforeDeath check.
2026-09-09 00:25:58	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleTemporalAfter check has been reimplemented with the plausibleAfterBirth and plausibleStartBeforeEnd checks.
2026-09-09 00:25:58	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleGender check has been reimplemented with the plausibleGenderUseDescendants check.
2026-09-09 00:25:58	[Main thread]	INFO	DatabaseConnector	connectPostgreSql	Connecting using PostgreSQL driver
2026-09-09 00:25:58	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmTable
2026-09-09 00:25:59	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measurePersonCompleteness
2026-09-09 00:25:59	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureConditionEraCompleteness
2026-09-09 00:25:59	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureObservationPeriodOverlap
2026-09-09 00:25:59	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmField
2026-09-09 00:26:05	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isRequired
2026-09-09 00:26:07	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmDatatype
2026-09-09 00:26:12	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isPrimaryKey
2026-09-09 00:26:12	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isForeignKey
2026-09-09 00:26:16	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkDomain
2026-09-09 00:26:17	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkClass
2026-09-09 00:26:17	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isStandardValidConcept
2026-09-09 00:26:19	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureValueCompleteness
2026-09-09 00:26:27	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: standardConceptRecordCompleteness
2026-09-09 00:26:28	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceConceptRecordCompleteness
2026-09-09 00:26:29	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceValueCompleteness
2026-09-09 00:26:30	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueLow
2026-09-09 00:26:31	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueHigh
2026-09-09 00:26:32	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleTemporalAfter
2026-09-09 00:26:33	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleDuringLife
2026-09-09 00:26:34	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: withinVisitDates
2026-09-09 00:26:34	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleAfterBirth
2026-09-09 00:26:35	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleBeforeDeath
2026-09-09 00:26:35	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleStartBeforeEnd
2026-09-09 00:26:36	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGender
2026-09-09 00:26:40	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGenderUseDescendants
2026-09-09 00:26:40	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleUnitConceptIds
2026-09-09 00:26:55	[Main thread]	INFO	DataQualityDashboard	.writeResultsToJson	Writing results to file: dqd/raw/nhanes-dietary-dsq2_b-2001.json
2026-09-09 00:26:55	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	Execution Complete
